City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
249,kill devil hills,36.0307,-75.676,31.01,76,0,6.69,US,1720304048
250,ingeniero jacobacci,-41.3427,-69.5448,-1.23,75,9,0.97,AR,1720304058
251,yajiwa,11.3839,12.7236,25.28,78,69,1.85,NG,1720304059
252,haiku-pauwela,20.9219,-156.3051,28.45,63,20,10.8,US,1720304060
253,molteno,-31.3968,26.3625,4.11,31,94,5.45,ZA,1720304061
254,fruita,39.1589,-108.729,34.78,10,0,3.09,US,1720304062
255,umm kaddadah,13.6017,26.6876,28.97,52,89,8.35,SD,1720304064
256,n'zeto,-7.2312,12.8666,20.97,90,53,2.94,AO,1720304065
257,urengoy,65.9667,78.3667,9.25,69,8,6.55,RU,1720304066
258,salalah,17.0151,54.0924,27.05,94,100,1.54,OM,1720304068
259,palmer,42.1584,-72.3287,29.4,68,80,2.84,US,1720304069
260,tromso,69.6496,18.957,13.01,71,100,6.69,NO,1720304070
261,zuni pueblo,35.0725,-108.8506,33.35,7,0,6.57,US,1720304071
262,iskateley,67.6803,53.1512,18.89,93,100,3.69,RU,1720304073
263,salina cruz,16.1667,-95.2,31.78,57,12,3.84,MX,1720304074
264,datong,40.0936,113.2914,21.85,56,100,1.7,CN,1720304038
265,bryne,58.7354,5.6477,12.81,91,75,5.66,NO,1720304076
266,longyearbyen,78.2186,15.6401,6.91,57,20,6.17,SJ,1720304078
267,inhambane,-23.865,35.3833,17.32,63,0,3.02,MZ,1720304079
268,nouadhibou,20.931,-17.0347,18.54,93,4,6.0,MR,1720304080
269,tanabe,33.7333,135.3667,26.4,89,94,1.15,JP,1720304081
270,college,64.8569,-147.8028,15.05,83,100,0.45,US,1720304083
271,sisimiut,66.9395,-53.6735,6.06,81,58,1.2,GL,1720304084
272,boguchany,58.3814,97.4531,18.15,62,7,0.44,RU,1720304085
273,huadian,42.9633,126.7478,19.24,97,100,7.72,CN,1720304088
274,vadso,70.0744,29.7487,13.09,76,75,2.57,NO,1720304089
275,tartagal,-22.5164,-63.8013,10.31,60,97,1.54,AR,1720304091
276,dukhan,25.4297,50.7858,32.84,55,31,2.46,QA,1720304094
277,meridian,43.6121,-116.3915,35.82,16,0,5.36,US,1720304095
278,ketchikan,55.3422,-131.6461,22.26,40,0,5.66,US,1720304097
279,puerto aysen,-45.4,-72.7,3.5,99,100,0.39,CL,1720304098
280,kotlas,61.2611,46.6556,12.87,97,47,2.38,RU,1720304100
281,xylokastro,38.0776,22.6317,28.52,38,0,0.89,GR,1720304102
282,fish town,5.1964,-7.8756,22.02,95,93,1.9,LR,1720304103
283,keflavik,64.0049,-22.5624,12.95,58,0,6.69,IS,1720304105
284,mar del plata,-38.0023,-57.5575,7.83,79,75,2.06,AR,1720303928
285,manggar,-2.8833,108.2667,25.94,84,100,2.85,ID,1720304107
286,tostado,-29.232,-61.7692,10.58,29,22,3.77,AR,1720304108
287,manokwari,-0.8667,134.0833,26.21,75,100,1.39,ID,1720304109
288,kavaratti,10.5669,72.642,27.78,85,100,7.21,IN,1720304111
289,galesong,-5.3166,119.3661,23.01,79,22,2.87,ID,1720304112
290,mili,6.0815,171.735,28.75,76,100,8.2,MH,1720304113
291,voitsberg,47.0333,15.15,18.11,69,0,2.82,AT,1720304115
292,barisal,22.7019,90.3711,27.01,91,100,2.56,BD,1720304116
293,vila franca do campo,37.7167,-25.4333,22.23,89,29,2.32,PT,1720304117
294,pandan,14.0453,124.1694,26.63,86,91,2.12,PH,1720304118
295,stanley,54.868,-1.6985,10.03,89,20,2.06,GB,1720304120
296,timimoun,29.2639,0.231,40.92,12,31,2.75,DZ,1720304121
297,beira,-19.8436,34.8389,21.05,94,0,2.06,MZ,1720304122
298,arteche,12.2645,125.4048,26.98,87,82,2.05,PH,1720304124
299,langsa,4.4683,97.9683,23.31,95,99,0.68,ID,1720304125
300,egilsstadir,65.2653,-14.3948,5.95,75,75,3.09,IS,1720304126
301,djebeniana,35.035,10.9081,25.89,76,0,7.59,TN,1720304127
302,gadzhiyevo,69.2551,33.3362,12.11,89,100,8.53,RU,1720304129
303,uruzgan,32.8333,66.0,22.48,23,0,3.22,AF,1720304130
304,seosan,36.7817,126.4522,22.57,99,100,2.86,KR,1720304131
305,buarcos,40.166,-8.8768,15.19,73,4,9.31,PT,1720304132
306,phan rang-thap cham,11.5667,108.9833,24.41,80,100,1.81,VN,1720304134
307,wuyishan,28.0047,117.8114,26.31,81,94,2.84,CN,1720304135
308,borkum,53.5809,6.6915,13.86,67,93,13.06,DE,1720304136
309,plettenberg bay,-34.0527,23.3716,17.67,31,100,4.7,ZA,1720304138
310,sampit,-2.5333,112.95,22.97,99,80,0.41,ID,1720304139
311,hassi messaoud,31.6804,6.0729,36.92,12,0,3.09,DZ,1720304140
312,kailua-kona,19.6406,-155.9956,28.98,84,75,4.63,US,1720304141
313,banamba,13.55,-7.45,27.78,60,42,4.2,ML,1720304143
314,villa gesell,-37.2639,-56.973,5.59,62,100,3.68,AR,1720304144
315,atafu village,-8.5421,-172.5159,28.11,73,63,2.02,TK,1720304145
316,mount isa,-20.7333,139.5,19.87,68,9,4.12,AU,1720304147
317,olinda,-8.0089,-34.8553,24.85,94,100,4.12,BR,1720303883
318,alvaraes,-3.2208,-64.8042,30.93,71,56,0.91,BR,1720304149
319,puerto penasco,31.3167,-113.5333,35.99,78,0,7.72,MX,1720304034
320,severo-yeniseyskiy,60.3725,93.0408,14.54,83,64,1.31,RU,1720304151
321,wanning,18.8003,110.3967,27.12,87,13,2.75,CN,1720304153
322,merizo village,13.2658,144.6691,29.85,84,68,6.26,GU,1720304154
323,biltine,14.5333,20.9167,33.43,25,15,3.54,TD,1720304155
324,mahalapye,-23.1041,26.8142,10.77,11,0,1.12,BW,1720304156
325,bereznik,62.8551,42.7072,11.46,86,8,2.15,RU,1720304158
326,correntina,-13.3433,-44.6367,23.24,34,8,2.34,BR,1720304159
327,filiatra,37.15,21.5833,21.64,65,0,3.35,GR,1720304160
328,willemstad,12.1084,-68.9335,30.95,66,20,6.69,CW,1720304080
329,storrington,50.9176,-0.4547,14.33,81,1,1.79,GB,1720304163
330,george town,5.4112,100.3354,26.96,84,20,1.54,MY,1720304164
331,sainte-savine,48.2964,4.0464,12.97,67,0,4.12,FR,1720304165
332,turinsk,58.0458,63.696,13.88,78,5,2.42,RU,1720304166
333,touros,-5.1989,-35.4608,24.45,86,26,3.12,BR,1720304168
334,priozersk,61.0393,30.1291,14.41,89,66,3.39,RU,1720304169
335,ust'-ilimsk,58.0006,102.6619,18.24,51,33,1.37,RU,1720304170
336,usakos,-22.0,15.6,14.64,40,0,0.92,NA,1720304171
337,yarmolyntsi,49.1924,26.8373,17.49,74,93,3.91,UA,1720304173
338,bell ville,-32.6259,-62.6887,8.15,30,99,2.64,AR,1720304174
339,lazaro cardenas,17.9583,-102.2,30.05,64,9,4.94,MX,1720304104
340,codrington,-38.2667,141.9667,2.93,88,0,3.27,AU,1720304176
341,owen sound,44.5672,-80.9435,20.74,86,0,1.79,CA,1720304178
342,cono norte,-16.3166,-71.5829,14.03,33,0,2.57,PE,1720304179
343,todos santos,23.45,-110.2167,35.72,76,83,2.88,MX,1720304180
344,torghay,49.6339,63.4981,20.32,65,53,4.47,KZ,1720304182
345,samana,19.2056,-69.3369,31.98,74,100,2.48,DO,1720304183
346,howrah,22.5892,88.3103,27.0,94,40,0.0,IN,1720304184
347,trincomalee,8.5711,81.2335,28.1,76,100,8.0,LK,1720304185
348,kavalerovo,44.2661,135.0572,17.37,99,100,1.1,RU,1720304187
349,iskushuban,10.2837,50.23,31.21,40,100,8.06,SO,1720304188
350,chui,-33.6971,-53.4616,4.87,80,38,1.72,UY,1720304189
351,kotovsk,47.7531,29.532,17.26,49,9,3.76,UA,1720304190
352,nemuro,43.3236,145.575,14.34,100,100,6.09,JP,1720304193
353,al ghayzah,16.2079,52.176,26.62,91,84,4.29,YE,1720304195
354,boende,-0.2167,20.8667,23.24,81,78,1.21,CD,1720304196
355,alotau,-10.3069,150.4462,23.72,89,85,2.77,PG,1720304199
356,kismayo,-0.3582,42.5454,25.22,77,34,7.93,SO,1720304201
357,conde,-7.2597,-34.9075,23.7,100,100,2.06,BR,1720304202
358,kerikeri,-35.2268,173.9474,12.17,93,24,0.89,NZ,1720304116
359,tsiombe,-25.3,45.4833,16.59,92,11,2.51,MG,1720304204
360,barretos,-20.5572,-48.5678,22.45,36,7,2.6,BR,1720304205
361,tazovsky,67.4667,78.7,6.01,83,98,6.4,RU,1720304207
362,swakopmund,-22.6833,14.5333,12.77,88,0,3.24,NA,1720304208
363,pervomayskoye,43.919,46.7102,23.33,61,93,1.4,RU,1720304209
